szene;titel;status;direkt_zugeordnet;nur_referenz;fehlt_noch;entscheidung
11;Die ersten Vielzeller;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 7 – Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfach zu komplex_ Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png;hintergrund_flaches_urmeer_unterwasser.jpg | objekt_einzelle_einfach.png | objekt_zellkolonie.png | objekt_zellverband.png | objekt_fadenalge.png | overlay_gasblasen_klein.png | overlay_lichtstrahlen_unterwasser.png;"Für die geplante Wachstumsanimation werden Einzelobjekte benötigt; die Übersichten können dafür nicht direkt zerlegt werden."
12;Die ersten Tiere;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Die Entwicklung des frühen Lebens.png;hintergrund_meeresboden_ediacara_kambrium.jpg | objekt_schwamm_einfach.png | objekt_nesseltier_einfach.png | objekt_ediacara_organismen_set.png | overlay_lichtstrahlen_unterwasser.png;Keine vorhandene Einzeldatei zeigt die benötigten Ediacara-Organismen. Die schwierige wissenschaftliche Einordnung aus der Muster-Episode bleibt verbindlich.
13;Die Kambrische Explosion;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Die Entwicklung des frühen Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png;hintergrund_meeresboden_ediacara_kambrium.jpg | objekt_trilobit.png | objekt_anomalocaris.png | objekt_wurm_meeresboden.png | objekt_stachelhaeuter_frueh.png | objekt_gliederfuesser_frueh_meer.png | overlay_lichtstrahlen_unterwasser.png;Die vorhandene Kambrien-Tafel ist eine nützliche Referenz, wegen Beschriftungen und Mehrfachmotiven aber kein Produktionsbild.
14;Der Sprung an Land;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Entstehung von Leben im Silur.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Silur – Das Leben kommt ins Wasser.png;hintergrund_fruehe_landkueste.jpg | objekt_landpflanzen_frueh.png | objekt_algenmatte_landkueste.png | objekt_pilzfaeden.png | objekt_ur_gliederfuesser.png;Die Silur-Tafeln sind Themenreferenz. Die frühe Landküste und sämtliche einzeln animierbaren Organismen fehlen.
15;Die ersten Tiere an Land;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Entstehung von Leben im Silur.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Silur – Das Leben kommt ins Wasser.png;hintergrund_fruehe_landkueste.jpg | objekt_landpflanzen_dichter.png | objekt_farn_vordergrund.png | objekt_tausendfuesser_frueh.png | objekt_spinnentier_frueh.png | objekt_ur_gliederfuesser.png;Der gemeinsame Hintergrund mit Szene 14 und alle beweglichen Landtier-Objekte müssen noch bereitgestellt werden.
16;Wirbeltiere erobern das Land;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Devon_ Das Zeitalter der Fischvielfalt.png;hintergrund_sumpfufer_devon.jpg | objekt_farn_vordergrund.png | objekt_tiktaalik.png | objekt_libelle_urzeit.png | objekt_amphibium_frueh.png;Die Devon-Tafel ist Referenz. Tiktaalik muss gemäß Muster-Episode als Flachwasserfisch dargestellt werden, nicht als fertiges Landtier.
17;Das Ei, das die Welt veränderte;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Karbon_ Wälder, Insekten und Reptilien.png;hintergrund_sumpfwald_karbon.jpg | objekt_farn_vordergrund.png | objekt_libelle_urzeit.png | objekt_amniot_frueh.png | objekt_amnioteneier.png;Die Karbon-Tafel legt Atmosphäre und Farbwelt nahe, darf aber nicht als Szene verwendet werden. Einzelobjekte fehlen.
18;Die Herrscher der Erde;Teilbestand – Nebel und Schatten vorhanden;Bilder/Altbestand/02_Effekte_Einzeln/Zarte Dampfwolke vor transparentem Hintergrund.png — vorläufiger Morgennebel | Bilder/Altbestand/02_Effekte_Einzeln/Diffuses Wolkenschatten auf transparentem Hintergrund.png — vorüberziehender Schatten;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Kreidezeit_ Blütenpflanzen und Dinosaurier.png;hintergrund_flusslandschaft_dinosaurierzeit.jpg | objekt_dinosaurier_pflanzenfresser.png | objekt_dinosaurier_jungtier.png | objekt_dinosaurier_herde.png | objekt_dinosaurier_fleischfresser_fern.png | objekt_flugsaurier.png | objekt_ginkgo.png | objekt_libelle_urzeit.png;Nebel und Schatten können getestet werden. Dinosaurier, Vegetation und gemeinsamer Hintergrund mit Szene 19 fehlen vollständig.
19;Der Tag, an dem sich alles änderte;Teilbestand – Staub und Schatten vorhanden;Bilder/Altbestand/02_Effekte_Einzeln/Diffuses Wolkenschatten auf transparentem Hintergrund.png — symbolischer Schatten | Bilder/Altbestand/02_Effekte_Einzeln/Staubwolke auf transparentem Hintergrund.png — Staub/Asche nach der Schwarzblende;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Kreidezeit_ Blütenpflanzen und Dinosaurier.png;hintergrund_flusslandschaft_dinosaurierzeit.jpg | overlay_morgennebel.png | sämtliche Dinosaurier- und Flugsaurierobjekte aus Szene 18 | overlay_asteroid_lichtpunkt.png | overlay_einschlag_lichtblitz.png | finales overlay_staub_und_asche.png;Die großen Feuerball-, Meteor- und Explosionsbilder des Altbestands werden hier ausdrücklich nicht eingesetzt. Sie widersprechen der ruhigen, ernsten Regieentscheidung ohne sichtbares Katastrophenspektakel.
20;Eine neue Chance;Teilbestand – Staub/Nebel vorhanden;Bilder/Altbestand/02_Effekte_Einzeln/Staubwolke auf transparentem Hintergrund.png — Staub/Asche | Bilder/Altbestand/02_Effekte_Einzeln/Dichte Dampfwolke auf transparentem Hintergrund.png — ziehende Aschewolke, sehr zurückhaltend | Bilder/Altbestand/02_Effekte_Einzeln/Zarte Dampfwolke vor transparentem Hintergrund.png — sich lichtender Nebel;;hintergrund_flusslandschaft_nach_einschlag.jpg | objekt_zeitfelsen.png | overlay_asche_auf_zeitfelsen.png | finales overlay_staub_und_asche.png | objekt_saeugetier_klein.png;Vorhandene graue Overlays eignen sich für die technische Vorschau. Hintergrund, Zeitfelsen und Säugetier fehlen.
21;Ein kleiner Schritt für ein Säugetier;Nur entfernte Referenz;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Pliozän_ Zeitalter der offenen Landschaften.png;hintergrund_junger_wald_saeugetiere.jpg | objekt_zeitfelsen.png | objekt_saeugetier_klein.png | objekt_saeugetier_jungtier.png | objekt_bluetenpflanzen.png | objekt_singvogel.png | objekt_insekt_auf_bluete.png;Die Pliozän-Tafel ist zeitlich nicht passend und höchstens eine entfernte Landschaftsreferenz. Für die Szene werden eigene textfreie Motive benötigt.
22;Ein Wimpernschlag;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 22 – Holocän_ Zeitalter des Menschen.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Anthropozän_ Der Einfluss des Menschen.png;hintergrund_zeitfelsen_kueste_heute.jpg | objekt_zeitfelsen.png | objekt_kinderhand.png | overlay_goldenes_schimmern.png | objekt_gras_und_blumen_heute.png | objekt_schmetterlinge.png | objekt_buntspecht.png | objekt_hummeln.png;Die Tafeln dienen nur als Themenreferenz. Das Schlussbild braucht dieselbe heutige Küste, denselben Zeitfelsen, dieselbe Kinderhand und dasselbe goldene Schimmern wie der Anfang. Keine vollständige Person zeigen.
